Country Name,Country Code,year,borrow_any,fin_account,distance,lack_doc,lack_trust,save_fin_acc,credit_c_purch,mm_account,save_any,imputer
Lesotho,LSO,2021,0.5107146341463414,0.6520886178861788,0.1474056818181818,0.1557090909090909,0.12651136363636362,0.27141382113821133,0.30153571428571424,0.24118787878787876,0.5276739837398373,Media
Liberia,LBR,2021,0.6045,0.2859,0.3519,0.418,0.2082,0.1268,0.30153571428571424,0.363,0.5806,Media
Libya,LBY,2021,0.5107146341463414,0.6520886178861788,0.1474056818181818,0.1557090909090909,0.12651136363636362,0.27141382113821133,0.30153571428571424,0.24118787878787876,0.5276739837398373,Media
Lithuania,LTU,2021,0.2537999999999999,0.9353,0.1474056818181818,0.1557090909090909,0.12651136363636362,0.4688,0.0670999999999999,0.24118787878787876,0.6562,Media
Luxembourg,LUX,2021,0.5107146341463414,0.6520886178861788,0.1474056818181818,0.1557090909090909,0.12651136363636362,0.27141382113821133,0.30153571428571424,0.24118787878787876,0.5276739837398373,Media
Madagascar,MDG,2021,0.5107146341463414,0.6520886178861788,0.1474056818181818,0.1557090909090909,0.12651136363636362,0.27141382113821133,0.30153571428571424,0.24118787878787876,0.5276739837398373,Media
Malawi,MWI,2021,0.5288,0.2022,0.168,0.3818,0.1888,0.0674,0.30153571428571424,0.3435,0.5271,Media
Malaysia,MYS,2021,0.3209,0.8817,0.0079,0.0278,0.0022,0.469,0.30153571428571424,0.2798,0.7033,Media
Maldives,MDV,2021,0.5107146341463414,0.6520886178861788,0.1474056818181818,0.1557090909090909,0.12651136363636362,0.27141382113821133,0.30153571428571424,0.24118787878787876,0.5276739837398373,Media
Mali,MLI,2021,0.4864,0.2844,0.2897,0.2865,0.1765,0.1119999999999999,0.30153571428571424,0.2938,0.5649000000000001,Media
Malta,MLT,2021,0.4824,0.9645,0.1474056818181818,0.1557090909090909,0.12651136363636362,0.4562,0.3356,0.24118787878787876,0.7064,Media
Mauritania,MRT,2021,0.5107146341463414,0.6520886178861788,0.1474056818181818,0.1557090909090909,0.12651136363636362,0.27141382113821133,0.30153571428571424,0.24118787878787876,0.5276739837398373,Media
Mauritius,MUS,2021,0.3852,0.8996,0.0159,0.0296,0.0157,0.2888,0.1232,0.159,0.5522,Media
Mexico,MEX,2021,0.5107146341463414,0.6520886178861788,0.1474056818181818,0.1557090909090909,0.12651136363636362,0.27141382113821133,0.30153571428571424,0.24118787878787876,0.5276739837398373,Media
Moldova,MDA,2021,0.4547,0.6425,0.1351,0.0834999999999999,0.1607999999999999,0.0803999999999999,0.30153571428571424,0.24118787878787876,0.5256000000000001,Media
Mongolia,MNG,2021,0.5253,0.9817,0.1474056818181818,0.1557090909090909,0.12651136363636362,0.2804,0.30153571428571424,0.5881000000000001,0.4478999999999999,Media
Montenegro,MNE,2021,0.5107146341463414,0.6520886178861788,0.1474056818181818,0.1557090909090909,0.12651136363636362,0.27141382113821133,0.30153571428571424,0.24118787878787876,0.5276739837398373,Media
Morocco,MAR,2021,0.5704,0.4224,0.1077999999999999,0.1148,0.0815,0.0735,0.30153571428571424,0.0626999999999999,0.3469,Media
Mozambique,MOZ,2021,0.4467,0.3863,0.2755,0.2846,0.1928,0.1088,0.0712,0.2938,0.4314,Media
Myanmar,MMR,2021,0.3309,0.3614,0.2994,0.284,0.0817,0.0904,0.30153571428571424,0.2903,0.4193,Media
Namibia,NAM,2021,0.6795,0.6557,0.122,0.106,0.1079,0.3372,0.1077999999999999,0.4261999999999999,0.5628,Media
Nepal,NPL,2021,0.5398,0.528,0.1157,0.1115,0.0546,0.1612,0.30153571428571424,0.0608999999999999,0.3483,Media
Netherlands,NLD,2021,0.4392,0.9973,0.1474056818181818,0.1557090909090909,0.12651136363636362,0.6573,0.2779,0.24118787878787876,0.8081999999999999,Media
New Zealand,NZL,2021,0.6990999999999999,0.9875,0.1474056818181818,0.1557090909090909,0.12651136363636362,0.6926000000000001,0.5361,0.24118787878787876,0.858,Media
Nicaragua,NIC,2021,0.3831,0.2319,0.3003,0.3653,0.2915,0.0608999999999999,0.30153571428571424,0.0655999999999999,0.3721,Media
Niger,NER,2021,0.5107146341463414,0.6520886178861788,0.1474056818181818,0.1557090909090909,0.12651136363636362,0.27141382113821133,0.30153571428571424,0.24118787878787876,0.5276739837398373,Media
Nigeria,NGA,2021,0.5440999999999999,0.4514,0.2003,0.1792,0.1033999999999999,0.1773,0.30153571428571424,0.0865,0.5552,Media
North Macedonia,MKD,2021,0.4291,0.8529000000000001,0.0351,0.0377,0.0325,0.1485,0.1588,0.24118787878787876,0.3838,Media
Norway,NOR,2021,0.7845,0.9948,0.1474056818181818,0.1557090909090909,0.12651136363636362,0.8093,0.5561,0.24118787878787876,0.8714,Media
Oman,OMN,2021,0.5107146341463414,0.6520886178861788,0.1474056818181818,0.1557090909090909,0.12651136363636362,0.27141382113821133,0.30153571428571424,0.24118787878787876,0.5276739837398373,Media
Pakistan,PAK,2021,0.3016,0.1629,0.2410999999999999,0.2178,0.1461,0.0237,0.30153571428571424,0.0853999999999999,0.1387,Media
Panama,PAN,2021,0.2945,0.4497,0.2626,0.2442,0.1785999999999999,0.151,0.30153571428571424,0.24118787878787876,0.3772999999999999,Media
Paraguay,PRY,2021,0.3483,0.2708,0.2335,0.23,0.2092,0.0434,0.30153571428571424,0.377,0.2322,Media
Peru,PER,2021,0.4145,0.5626,0.2224,0.1747,0.212,0.1461,0.1065,0.1434,0.3467,Media
Philippines,PHL,2021,0.5775,0.4598,0.2573999999999999,0.2193,0.1418,0.1916,0.30153571428571424,0.2173999999999999,0.5439,Media
Poland,POL,2021,0.4604,0.9572,0.1474056818181818,0.1557090909090909,0.12651136363636362,0.3643,0.1914999999999999,0.24118787878787876,0.5876,Media
Portugal,PRT,2021,0.3739,0.9265,0.0098,0.0197,0.0154,0.4269,0.2579,0.24118787878787876,0.6325999999999999,Media
Puerto Rico,PRI,2021,0.5107146341463414,0.6520886178861788,0.1474056818181818,0.1557090909090909,0.12651136363636362,0.27141382113821133,0.30153571428571424,0.24118787878787876,0.5276739837398373,Media
Qatar,QAT,2021,0.5107146341463414,0.6520886178861788,0.1474056818181818,0.1557090909090909,0.12651136363636362,0.27141382113821133,0.30153571428571424,0.24118787878787876,0.5276739837398373,Media
Romania,ROU,2021,0.4135999999999999,0.6912,0.0353,0.0219,0.12,0.187,0.1357,0.24118787878787876,0.4487,Media
Russian Federation,RUS,2021,0.51,0.8870999999999999,0.0405,0.0276,0.1008,0.1793,0.2009,0.3293999999999999,0.3732,Media
Rwanda,RWA,2021,0.5107146341463414,0.6520886178861788,0.1474056818181818,0.1557090909090909,0.12651136363636362,0.27141382113821133,0.30153571428571424,0.24118787878787876,0.5276739837398373,Media
Saudi Arabia,SAU,2021,0.5972999999999999,0.7432,0.089,0.055,0.0243999999999999,0.3552,0.2095,0.24118787878787876,0.6303,Media
Senegal,SEN,2021,0.5178,0.2813,0.2231,0.1621,0.2392999999999999,0.0878999999999999,0.30153571428571424,0.4489,0.5852,Media
Serbia,SRB,2021,0.5012,0.8942,0.0291,0.0248,0.0324,0.1893,0.1071,0.24118787878787876,0.4234,Media
Sierra Leone,SLE,2021,0.5375,0.1378,0.1653,0.2531,0.11,0.0487999999999999,0.30153571428571424,0.1903999999999999,0.4786999999999999,Media
Singapore,SGP,2021,0.4618,0.9719,0.1474056818181818,0.1557090909090909,0.12651136363636362,0.5999,0.3753,0.306,0.8552,Media
Slovak Republic,SVK,2021,0.4535,0.9562,0.1474056818181818,0.1557090909090909,0.12651136363636362,0.5885,0.2412,0.24118787878787876,0.7851,Media
Slovenia,SVN,2021,0.5392,0.9905,0.1474056818181818,0.1557090909090909,0.12651136363636362,0.3985,0.3793999999999999,0.24118787878787876,0.6491,Media
Somalia,SOM,2021,0.5107146341463414,0.6520886178861788,0.1474056818181818,0.1557090909090909,0.12651136363636362,0.27141382113821133,0.30153571428571424,0.24118787878787876,0.5276739837398373,Media
South Africa,ZAF,2021,0.6035,0.8411,0.047,0.0454,0.0368,0.3721,0.0766,0.3657,0.6229,Media
South Sudan,SSD,2021,0.3692,0.0548,0.3522,0.3882,0.1747,0.0149,0.30153571428571424,0.0085,0.172,Media
