"","Country.Name","Country.Code","year","account","fin_account","saved_fin_acc","saved_any_money","borrowed_fin_acc","borrowed_any_money","debit_card_purch","credit_card_purch","imputer"
"526","Finland","FIN",2017,99.7854156494141,99.7854156494141,54.5406112670898,72.3298263549805,54.2046737670898,61.353588104248,93.0110626220703,47.3516807556152,"HotDeck"
"527","France","FRA",2017,94.0040435791016,94.0040435791016,48.0778770446777,63.3060111999512,45.1529541015625,51.6054344177246,80.9325180053711,34.5495147705078,"HotDeck"
"528","Gabon","GAB",2017,58.6019973754883,33.9846572875977,13.4619550704956,59.6024436950684,7.53443145751953,55.9590339660645,5.51307773590088,13.6978607177734,"HotDeck"
"529","Georgia","GEO",2017,61.2304458618164,61.2304458618164,4.59704685211182,15.0039854049683,27.443603515625,44.9126510620117,10.2994289398193,13.2466077804565,"HotDeck"
"530","Germany","DEU",2017,99.1411895751953,99.1411895751953,55.3765411376953,75.7164001464844,54.6274948120117,64.0730438232422,81.7778854370117,47.3634262084961,"HotDeck"
"531","Ghana","GHA",2017,57.7175254821777,42.2841682434082,16.190746307373,50.2400169372559,11.5967969894409,40.2703094482422,5.37980461120605,34.5495147705078,"HotDeck"
"532","Greece","GRC",2017,85.4665222167969,85.4665222167969,12.6588735580444,20.9599628448486,11.1932506561279,26.5657386779785,48.7884864807129,9.42916870117188,"HotDeck"
"533","Guatemala","GTM",2017,44.1070098876953,43.5352897644043,12.114972114563,42.2554588317871,12.6573352813721,32.4034614562988,7.81547737121582,79.1753463745117,"HotDeck"
"534","Guinea","GIN",2017,23.4860343933105,14.6278772354126,6.45726013183594,39.0894432067871,5.83781433105469,39.6155242919922,56.1678771972656,20.1211681365967,"HotDeck"
"535","Haiti","HTI",2017,32.6211853027344,28.1889495849609,12.1560316085815,44.0518035888672,12.8596496582031,39.6891098022461,4.2945122718811,25.7590618133545,"HotDeck"
"536","Honduras","HND",2017,45.3429718017578,42.9444274902344,14.6097764968872,41.7197418212891,14.1652984619141,33.6468353271484,8.50376987457275,9.25422191619873,"HotDeck"
"537","Hong Kong SAR, China","HKG",2017,95.2832565307617,95.2832565307617,50.9185676574707,60.7636528015137,62.059944152832,66.3590393066406,54.4035034179688,61.227409362793,"HotDeck"
"538","Hungary","HUN",2017,74.9449691772461,74.9449691772461,23.6454792022705,36.8361129760742,15.9343605041504,24.7631969451904,54.1108131408691,10.8526391983032,"HotDeck"
"539","India","IND",2017,79.8753280639648,79.8401794433594,19.6039581298828,33.5566787719727,8.14600467681885,42.3909797668457,11.6513700485229,32.7483062744141,"HotDeck"
"540","Indonesia","IDN",2017,48.8574523925781,48.3920593261719,21.5343914031982,61.7759819030762,18.4441757202148,54.8448867797852,11.2977132797241,17.2121143341064,"HotDeck"
"541","Iran, Islamic Rep.","IRN",2017,93.9819183349609,93.3562774658203,26.2195701599121,43.3523406982422,27.8091907501221,68.2021713256836,64.3179931640625,25.7590618133545,"HotDeck"
"542","Iraq","IRQ",2017,22.6651515960693,20.3255176544189,1.62484776973724,31.0142078399658,3.0542004108429,63.4414482116699,13.5154294967651,8.03883266448975,"HotDeck"
