"CountryCode","SeriesCode","DESCRIPTION",
"OED","fin7.t.a.7","Only high-income countries are covered.",
"OED","fin17b.t.a.5","Only high-income countries are covered.",
"OED","fin25d.a.s.2","Only high-income countries are covered.",
"OED","fin39c1.t.a.s","Only high-income countries are covered.",
"OED","fin22c.a.7","Only high-income countries are covered.",
"OED","fin26.t.a.6","Only high-income countries are covered.",
"OED","fin27c2.t.d","Only high-income countries are covered.",
"OED","fin22a.t.d.11","Only high-income countries are covered.",
"OED","fin8.t.a","Only high-income countries are covered.",
"OED","fin33n.t.a.10","Only high-income countries are covered.",
"OED","fin14abca.t.d","Only high-income countries are covered.",
"OED","fin33n.t.a.7","Only high-income countries are covered.",
"OED","fin37.t.a.7","Only high-income countries are covered.",
"OED","fin25c.a.s.8","Only high-income countries are covered.",
"OED","fin14abca.t.d.5","Only high-income countries are covered.",
"OED","fin19.t.a.2","Only high-income countries are covered.",
"OED","fin23.t.d","Only high-income countries are covered.",
"OED","fin27.29a.t.a.s","Only high-income countries are covered.",
"OED","fin33y.t.a.8","Only high-income countries are covered.",
"OED","fin39a.t.a.s","Only high-income countries are covered.",
"OED","fin43b.t.a","Only high-income countries are covered.",
"OED","g20.t.5","Only high-income countries are covered.",
"OED","fin16.t.a.1","Only high-income countries are covered.",
"OED","fin20b.t.a.6","Only high-income countries are covered.",
"OED","fin17c.14.a.10","Only high-income countries are covered.",
"OED","fin22b.t.a.3","Only high-income countries are covered.",
"OED","fin26.28.t.a.4","Only high-income countries are covered.",
"OED","fin27.29b.t.a","Only high-income countries are covered.",
"OED","fin38.39a.a.s","Only high-income countries are covered.",
"OED","fin2.t.a.8","Only high-income countries are covered.",
"OED","fin25b.t.a.s.2","Only high-income countries are covered.",
"OED","fin27c1.t.d.s","Only high-income countries are covered.",
"OED","fin31a.t.a","Only high-income countries are covered.",
"OED","fin33.14.a.9","Only high-income countries are covered.",
"OED","fin34ay.t.a.s","Only high-income countries are covered.",
"OED","fin38.a.3","Only high-income countries are covered.",
"OED","mobileaccount.t.d.8","Only high-income countries are covered.",
"OED","fin11b.a.s","Only high-income countries are covered.",
"OED","fin11b.a","Only high-income countries are covered.",
"OED","fin18.t.d.8","Only high-income countries are covered.",
"OED","fin25e.a.s.4","Only high-income countries are covered.",
"OED","fin26.t.a.8","Only high-income countries are covered.",
"OED","fing2p.39a.t.d","Only high-income countries are covered.",
"OED","fin33n.t.a.1","Only high-income countries are covered.",
"OED","fin33n.t.a.5","Only high-income countries are covered.",
"OED","fin37.t.a.1","Only high-income countries are covered.",
"OED","fin47a.a","Only high-income countries are covered.",
"OED","fin11h.a","Only high-income countries are covered.",
"OED","fin25f.a.s.1","Only high-income countries are covered.",
"OED","fin47a.a.s","Only high-income countries are covered.",
"OED","fin25d.a.s.7","Only high-income countries are covered.",
"OED","fin65e.11.a.11","Only high-income countries are covered.",
"OED","fin22b.t.a.9","Only high-income countries are covered.",
"OED","fin5.d.1","Only high-income countries are covered.",
"OED","fin25f.a.s.3","Only high-income countries are covered.",
"OED","fin19.t.a.8","Only high-income countries are covered.",
"OED","fin22a.14.a.9","Only high-income countries are covered.",
"OED","fin27b.t.a.s","Only high-income countries are covered.",
"OED","fin4.t.a","Only high-income countries are covered.",
"OED","g20.t","Only high-income countries are covered.",
"OED","fin14a.a.11","Only high-income countries are covered.",
"OED","fin33y.t.a.10","Only high-income countries are covered.",
"OED","fin48.a","Only high-income countries are covered.",
"OED","fin17a.t.a","Only high-income countries are covered.",
"OED","fin33y.t.a","Only high-income countries are covered.",
"OED","fin14b.a.6","Only high-income countries are covered.",
"OED","fin21.t.a.5","Only high-income countries are covered.",
